mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	122
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	114
7	7	55/2	55/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		11	65	E#4	4	107
8	8	28	28	0.5	0	0	4/4	2	2	1/8	1/8	1		6	42	F#2	2	132
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		7	61	C#4	4	130
8	8	28	28	0.5	0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	126
8	8	28	28	1.5	0	0	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	123
8	8	57/2	57/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	44	G#2	2	133
8	8	57/2	57/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		11	65	E#4	4	127
8	8	29	29	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	134
8	8	29	29	2.0	1/4	1/4	4/4	1	2	1/2	1/2	1		6	66	F#4	4	128
8	8	59/2	59/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	135
8	8	59/2	59/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	124
8	8	30	30	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		7	49	C#3	3	136
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	131
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	125
8	8	31	31	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		11	65	E#4	4	129
9	9	32	32	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	149
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	145
9	9	32	32	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	141
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	137
9	9	33	33	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	150
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	146
9	9	33	33	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	142
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	138
9	9	67/2	67/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	151
9	9	34	34	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	152
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	147
9	9	34	34	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	143
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	139
9	9	35	35	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	153
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	148
9	9	35	35	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	144
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	140
9	9	71/2	71/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	154
10	10	36	36	2.0	0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	168
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	162
10	10	36	36	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	158
10	10	36	36	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	155
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	163
10	10	38	38	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	169
10	10	38	38	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57	A3	3	164
10	10	38	38	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		7	61	C#4	4	159
10	10	38	38	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	156
10	10	77/2	77/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	165
10	10	77/2	77/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	160
10	10	39	39	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	170
10	10	39	39	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	166
10	10	39	39	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	161
10	10	39	39	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	157
10	10	79/2	79/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	167
11	11	40	40	0.5	0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3	179
11	11	40	40	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	184
11	11	40	40	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	175
11	11	40	40	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	171
11	11	81/2	81/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	180
11	11	81/2	81/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	176
11	11	41	41	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	185
11	11	41	41	0.75	1/4	1/4	4/4	2	1	3/16	1/8	3/2		4	64	E4	4	181
11	11	41	41	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	177
11	11	41	41	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	172
11	11	83/2	83/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	173
11	11	167/4	167/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		2	62	D4	4	182
11	11	42	42	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		3	45	A2	2	186
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	183
11	11	42	42	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	178
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	174
