mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
12	10	40	40	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	204
12	10	40	40	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		4	76	E5	5	200
13	11	41	41	0.0	0	0	4/4	1	1	0	appoggiatura	1/8	1		2	74	D5	5	211
13	11	41	41	0.5	0	0	4/4	2	1	1/8		1/8	1		3	57	A3	3	225
13	11	41	41	0.5	0	0	4/4	2	2	1/8		1/8	1		3	57	A3	3	232
13	11	41	41	1.5	0	0	4/4	1	2	3/8		1/4	3/2		4	64	E4	4	219
13	11	41	41	1.0	0	0	4/4	1	1	1/4		1/4	1		0	72	C5	5	212
13	11	83/2	83/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		3	45	A2	2	233
13	11	83/2	83/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	226
13	11	42	42	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1	1	3	57	A3	3	234
13	11	42	42	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		0	60	C4	4	227
13	11	42	42	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	213
13	11	85/2	85/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	220
13	11	85/2	85/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	214
13	11	43	43	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		6	54	F#3	3	228
13	11	43	43	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1	-1	3	57	A3	3	235
13	11	43	43	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		9	63	D#4	4	221
13	11	43	43	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		5	71	B4	4	215
13	11	87/2	87/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	236
13	11	87/2	87/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	229
13	11	87/2	87/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		9	63	D#4	4	216
13	11	87/2	87/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	222
13	11	44	44	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		1	55	G3	3	237
13	11	44	44	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		5	59	B3	3	230
13	11	44	44	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		4	64	E4	4	217
13	11	44	44	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	223
13	11	89/2	89/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		0	48	C3	3	238
13	11	89/2	89/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	231
13	11	89/2	89/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	224
13	11	89/2	89/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	218
14	12	45	45	0.5	0	0	4/4	2	2	1/8		1/8	1		5	47	B2	2	250
14	12	45	45	1.0	0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	246
14	12	45	45	1.0	0	0	4/4	1	2	1/4		1/4	1		4	64	E4	4	243
14	12	45	45	1.0	0	0	4/4	1	1	1/4		1/4	1		1	67	G4	4	239
14	12	91/2	91/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		3	45	A2	2	251
14	12	46	46	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		5	47	B2	2	252
14	12	46	46	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	247
14	12	46	46	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		9	63	D#4	4	244
14	12	46	46	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	240
14	12	93/2	93/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		1	55	G3	3	248
14	12	93/2	93/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		4	64	E4	4	241
14	12	47	47	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		4	52	E3	3	253
14	12	47	47	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		1	55	G3	3	249
14	12	47	47	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		5	59	B3	3	245
14	12	47	47	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		4	64	E4	4	242
