mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
7	7	26	26	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		5	71	B4	4		187
7	7	26	26	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		5	71	B4	4		188
7	7	26	26	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		5	71	B4	4		191
7	7	26	26	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		5	71	B4	4		192
7	7	27	27	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		178
7	7	27	27	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		173
7	7	55/2	55/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		179
7	7	55/2	55/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		174
8	8	28	28	1.0		0	0	4/4	14	1	1/4		1/4	1		6	30	F#1	1		240
8	8	28	28	1.0		0	0	4/4	13	1	1/4		1/4	1		6	42	F#2	2		238
8	8	28	28	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		212
8	8	28	28	2.0		0	0	4/4	12	2	1/2		1/2	1		6	54	F#3	3		236
8	8	28	28	1.0		0	0	4/4	1	2	1/4		1/4	1		2	62	D4	4		206
8	8	28	28	2.0		0	0	4/4	9	1	1/2		1/2	1		2	62	D4	4		226
8	8	28	28	2.0		0	0	4/4	12	1	1/2		1/2	1		2	62	D4	4		234
8	8	28	28	1.0		0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4		200
8	8	28	28	2.0		0	0	4/4	8	2	1/2		1/2	1		3	69	A4	4		224
8	8	28	28	2.0		0	0	4/4	11	2	1/2		1/2	1		3	69	A4	4		232
8	8	28	28	2.0		0	0	4/4	3	1	1/2		1/2	1		0	72	C5	5		214
8	8	28	28	2.0		0	0	4/4	4	1	1/2		1/2	1		0	72	C5	5		216
8	8	28	28	2.0		0	0	4/4	5	1	1/2		1/2	1		0	72	C5	5		218
8	8	28	28	2.0		0	0	4/4	6	1	1/2		1/2	1		0	72	C5	5		220
8	8	28	28	2.0		0	0	4/4	7	1	1/2		1/2	1		0	72	C5	5		222
8	8	28	28	2.0		0	0	4/4	10	1	1/2		1/2	1		0	72	C5	5		228
8	8	28	28	2.0		0	0	4/4	11	1	1/2		1/2	1		0	72	C5	5		230
8	8	29	29	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		3	69	A4	4		207
8	8	29	29	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	C5	5		201
8	8	59/2	59/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		2	62	D4	4		208
8	8	59/2	59/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4		202
8	8	30	30	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		1	31	G1	1		241
8	8	30	30	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		1	43	G2	2		239
8	8	30	30	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		213
8	8	30	30	2.0		1/2	1/2	4/4	12	2	1/2		1/2	1		1	55	G3	3		237
8	8	30	30	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		2	62	D4	4		227
8	8	30	30	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		2	62	D4	4		235
8	8	30	30	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		1	67	G4	4		209
8	8	30	30	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		1	67	G4	4		225
8	8	30	30	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		1	67	G4	4		233
8	8	30	30	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		5	71	B4	4		203
8	8	30	30	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		5	71	B4	4		215
8	8	30	30	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		5	71	B4	4		217
8	8	30	30	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		5	71	B4	4		219
8	8	30	30	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		5	71	B4	4		221
8	8	30	30	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		5	71	B4	4		223
8	8	30	30	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		5	71	B4	4		229
8	8	30	30	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		5	71	B4	4		231
8	8	31	31	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		5	71	B4	4		210
8	8	31	31	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		2	74	D5	5		204
8	8	63/2	63/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		1	67	G4	4		211
8	8	63/2	63/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		5	71	B4	4		205
9	9	32	32	1.0		0	0	4/4	14	1	1/4		1/4	1		2	38	D2	2		279
9	9	32	32	1.0		0	0	4/4	12	2	1/4		1/4	1		2	50	D3	3		273
9	9	32	32	1.0		0	0	4/4	13	1	1/4		1/4	1		2	50	D3	3		277
9	9	32	32	2.0		0	0	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		249
9	9	32	32	2.0		0	0	4/4	9	1	1/2		1/2	1		2	62	D4	4		263
9	9	32	32	2.0		0	0	4/4	12	1	1/2		1/2	1		2	62	D4	4		271
9	9	32	32	2.0		0	0	4/4	8	2	1/2		1/2	1		6	66	F#4	4		261
9	9	32	32	2.0		0	0	4/4	11	2	1/2		1/2	1		6	66	F#4	4		269
9	9	32	32	1.0		0	0	4/4	1	2	1/4		1/4	1		3	69	A4	4		246
9	9	32	32	2.0		0	0	4/4	3	1	1/2		1/2	1		3	69	A4	4		251
9	9	32	32	2.0		0	0	4/4	4	1	1/2		1/2	1		3	69	A4	4		253
9	9	32	32	2.0		0	0	4/4	5	1	1/2		1/2	1		3	69	A4	4		255
9	9	32	32	2.0		0	0	4/4	6	1	1/2		1/2	1		3	69	A4	4		257
9	9	32	32	2.0		0	0	4/4	7	1	1/2		1/2	1		3	69	A4	4		259
9	9	32	32	2.0		0	0	4/4	10	1	1/2		1/2	1		3	69	A4	4		265
9	9	32	32	2.0		0	0	4/4	11	1	1/2		1/2	1		3	69	A4	4		267
9	9	32	32	1.0		0	0	4/4	1	1	1/4		1/4	1		0	72	C5	5		242
9	9	33	33	1.0		1/4	1/4	4/4	12	2	1/4		1/4	1		0	48	C3	3		274
9	9	33	33	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		2	62	D4	4		247
9	9	33	33	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		3	69	A4	4		243
9	9	34	34	1.0		1/2	1/2	4/4	14	1	1/4		1/4	1		1	43	G2	2		280
9	9	34	34	1.0		1/2	1/2	4/4	12	2	1/4		1/4	1		5	47	B2	2		275
9	9	34	34	2.0		1/2	1/2	4/4	2	1	1/2	1/2_r8_0	1/2	1		2	50	D3	3		250
9	9	34	34	1.0		1/2	1/2	4/4	13	1	1/4		1/4	1		1	55	G3	3		278
9	9	34	34	2.0		1/2	1/2	4/4	9	1	1/2		1/2	1		2	62	D4	4		264
9	9	34	34	2.0		1/2	1/2	4/4	12	1	1/2		1/2	1		2	62	D4	4		272
9	9	34	34	2.0		1/2	1/2	4/4	8	2	1/2		1/2	1		1	67	G4	4		262
9	9	34	34	2.0		1/2	1/2	4/4	11	2	1/2		1/2	1		1	67	G4	4		270
9	9	34	34	2.0		1/2	1/2	4/4	3	1	1/2		1/2	1		5	71	B4	4		252
9	9	34	34	2.0		1/2	1/2	4/4	4	1	1/2		1/2	1		5	71	B4	4		254
9	9	34	34	2.0		1/2	1/2	4/4	5	1	1/2		1/2	1		5	71	B4	4		256
9	9	34	34	2.0		1/2	1/2	4/4	6	1	1/2		1/2	1		5	71	B4	4		258
9	9	34	34	2.0		1/2	1/2	4/4	7	1	1/2		1/2	1		5	71	B4	4		260
9	9	34	34	2.0		1/2	1/2	4/4	10	1	1/2		1/2	1		5	71	B4	4		266
9	9	34	34	2.0		1/2	1/2	4/4	11	1	1/2		1/2	1		5	71	B4	4		268
9	9	35	35	1.0		3/4	3/4	4/4	12	2	1/4		1/4	1		1	43	G2	2		276
9	9	35	35	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4		248
9	9	35	35	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4		244
9	9	71/2	71/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5		245
