mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	8	22	24	1.0		1/2	1/2	4/4	3	3	1/4		1/4	1		6	30	F#1	1	130
8	8	22	24	1.0		1/2	1/2	4/4	2	3	1/4		1/4	1		6	42	F#2	2	125
8	8	22	24	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	116
8	8	22	24	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	A4	4	112
8	8	23	25	0.5		3/4	3/4	4/4	3	2	1/8		1/8	1		7	37	C#2	2	126
8	8	23	25	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	49	C#3	3	121
8	8	23	25	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	117
8	8	23	25	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	119
8	8	23	25	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		8	68	G#4	4	113
8	8	47/2	51/2	0.5		7/8	7/8	4/4	3	2	1/8		1/8	1		9	39	D#2	2	127
8	8	47/2	51/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	122
8	8	47/2	51/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	120
8	8	47/2	51/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	118
9	9	24	26	0.5		0	0	4/4	3	2	1/8		1/8	1		4	40	E2	2	153
9	9	24	26	0.5		0	0	4/4	2	2	1/8		1/8	1		4	52	E3	3	146
9	9	24	26	0.5		0	0	4/4	2	1	1/8		1/8	1		7	61	C#4	4	140
9	9	24	26	0.5		0	0	4/4	1	2	1/8		1/8	1		8	68	G#4	4	135
9	9	24	26	1.5		0	0	4/4	1	1	3/8		1/4	3/2		7	73	C#5	5	131
9	9	49/2	53/2	0.5		1/8	1/8	4/4	3	2	1/8		1/8	1		9	39	D#2	2	154
9	9	49/2	53/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	147
9	9	49/2	53/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	136
9	9	49/2	53/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		3	69	A4	4	141
9	9	25	27	0.5		1/4	1/4	4/4	3	2	1/8		1/8	1		4	40	E2	2	155
9	9	25	27	0.5		1/4	1/4	4/4	2	2	1/8		1/8	1		4	52	E3	3	148
9	9	25	27	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	137
9	9	25	27	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		8	68	G#4	4	142
9	9	51/2	55/2	0.5		3/8	3/8	4/4	3	2	1/8		1/8	1		6	42	F#2	2	156
9	9	51/2	55/2	0.5		3/8	3/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	149
9	9	51/2	55/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		6	66	F#4	4	143
9	9	51/2	55/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	138
9	9	51/2	55/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		9	75	D#5	5	132
9	9	26	28	0.0		1/2	1/2	4/4	1	1	0	appoggiatura	1/8	1		7	73	C#5	5	133
9	9	26	28	0.0		1/2	1/2	4/4	2	1	0	appoggiatura	1/8	1		4	64	E4	4	144
9	9	26	28	1.0		1/2	1/2	4/4	3	2	1/4		1/4	1		8	32	G#1	1	157
9	9	26	28	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		8	44	G#2	2	150
9	9	26	28	2.0		1/2	1/2	4/4	2	1	1/2		1/2	1		9	63	D#4	4	145
9	9	26	28	2.0		1/2	1/2	4/4	1	2	1/2		1/2	1		8	68	G#4	4	139
9	9	26	28	2.0		1/2	1/2	4/4	1	1	1/2		1/2	1		12	72	B#4	4	134
9	9	27	29	0.5		3/4	3/4	4/4	3	2	1/8		1/8	1		8	44	G#2	2	158
9	9	27	29	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		8	56	G#3	3	151
9	9	55/2	59/2	0.5		7/8	7/8	4/4	3	2	1/8		1/8	1		6	42	F#2	2	159
9	9	55/2	59/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	152
10	10	28	30	3.0		0	0	4/4	3	2	3/4		1/2	3/2		4	40	E2	2	175
