mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
10	9	24	24	1.0	0	1/2	3/4	3	1	1/4		1/4	1		0	60	C4	4	142
10	9	24	24	1.0	0	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	141
10	9	24	24	1.0	0	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	140
10	9	49/2	49/2	0.5	1/8	5/8	3/4	4	2	1/8		1/8	1		-3	39	Eb2	2	146
10	9	49/2	49/2	0.5	1/8	5/8	3/4	3	2	1/8		1/8	1		-3	51	Eb3	3	144
11	10	25	25	1.0	0	0	3/4	4	2	1/4		1/4	1		2	38	D2	2	160
11	10	25	25	1.0	0	0	3/4	3	2	1/4		1/4	1		2	50	D3	3	155
11	10	25	25	1.0	0	0	3/4	3	1	1/4		1/4	1		-1	53	F3	3	152
11	10	25	25	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	150
11	10	25	25	1.0	0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	147
11	10	26	26	0.5	1/4	1/4	3/4	4	2	1/8		1/8	1		-3	39	Eb2	2	161
11	10	26	26	0.5	1/4	1/4	3/4	3	2	1/8		1/8	1		-3	51	Eb3	3	156
11	10	26	26	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		3	57	A3	3	153
11	10	26	26	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	148
11	10	53/2	53/2	0.5	3/8	3/8	3/4	4	2	1/8		1/8	1		2	38	D2	2	162
11	10	53/2	53/2	0.5	3/8	3/8	3/4	3	2	1/8		1/8	1		2	50	D3	3	157
11	10	27	27	0.5	1/2	1/2	3/4	4	2	1/8		1/8	1		0	36	C2	2	163
11	10	27	27	0.5	1/2	1/2	3/4	3	2	1/8		1/8	1		0	48	C3	3	158
11	10	27	27	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	154
11	10	27	27	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	151
11	10	27	27	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	D5	5	149
11	10	55/2	55/2	0.5	5/8	5/8	3/4	4	2	1/8		1/8	1		-2	34	Bb1	1	164
11	10	55/2	55/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		-2	46	Bb2	2	159
12	11	28	28	1.5	0	0	3/4	4	2	3/8		1/4	3/2		-3	39	Eb2	2	180
12	11	28	28	1.5	0	0	3/4	3	2	3/8		1/4	3/2		-3	51	Eb3	3	177
12	11	28	28	1.5	0	0	3/4	3	1	3/8		1/4	3/2		-2	58	Bb3	3	174
12	11	28	28	1.5	0	0	3/4	1	2	3/8		1/4	3/2		-3	63	Eb4	4	170
12	11	28	28	1.0	0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	165
12	11	29	29	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		1	79	G5	5	166
12	11	59/2	59/2	0.5	3/8	3/8	3/4	4	2	1/8		1/8	1		-3	39	Eb2	2	181
12	11	59/2	59/2	0.5	3/8	3/8	3/4	3	2	1/8		1/8	1		-3	51	Eb3	3	178
12	11	59/2	59/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		0	60	C4	4	175
