mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
8	8	63/2	63/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		-1	41	F2	2		167
8	8	63/2	63/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		164
9	9	32	32	0.5	0	0	4/4	3	2	1/8	1/8	1		4	40	E2	2		189
9	9	32	32	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3		183
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3		178
9	9	32	32	1.0	0	0	4/4	1	2	1/4	1/4	1		0	60	C4	4		172
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4		168
9	9	65/2	65/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		2	38	D2	2		190
9	9	65/2	65/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		184
9	9	33	33	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		4	40	E2	2		191
9	9	33	33	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		185
9	9	33	33	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		0	60	C4	4		173
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4		179
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		169
9	9	67/2	67/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		0	36	C2	2		192
9	9	67/2	67/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3		186
9	9	67/2	67/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		174
9	9	34	34	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		-1	41	F2	2		193
9	9	34	34	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3		187
9	9	34	34	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	C4	4		180
9	9	34	34	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4		175
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		170
9	9	69/2	69/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		181
9	9	35	35	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		8	32	G#1	1		194
9	9	35	35	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2		188
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		182
9	9	35	35	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4		176
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		171
9	9	71/2	71/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		177
10	10	36	36	0.5	0	0	4/4	3	2	1/8	1/8	1		3	33	A1	1		218
10	10	36	36	0.5	0	0	4/4	2	2	1/8	1/8	1		3	45	A2	2		213
10	10	36	36	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4		206
10	10	36	36	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4		198
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5		195
10	10	73/2	73/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		5	35	B1	1		219
10	10	73/2	73/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		214
10	10	73/2	73/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		207
10	10	73/2	73/2	0.25	1/8	1/8	4/4	1	2	1/16	1/16	1		3	69	A4	4		199
10	10	147/4	147/4	0.25	3/16	3/16	4/4	1	2	1/16	1/16	1		8	68	G#4	4		200
10	10	37	37	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		0	36	C2	2		220
10	10	37	37	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3		215
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		208
10	10	37	37	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		201
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5		196
10	10	75/2	75/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		2	38	D2	2		221
10	10	75/2	75/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		216
10	10	38	38	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		4	40	E2	2		222
10	10	38	38	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3		217
10	10	38	38	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4		209
10	10	38	38	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		3	69	A4	4		202
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4		197
10	10	77/2	77/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		210
10	10	77/2	77/2	0.25	5/8	5/8	4/4	1	2	1/16	1/16	1		8	68	G#4	4		203
10	10	155/4	155/4	0.25	11/16	11/16	4/4	1	2	1/16	1/16	1		6	66	F#4	4		204
10	10	39	39	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4		211
10	10	39	39	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4		205
10	10	79/2	79/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		212
11	11	40	40	2.0	0	0	4/4	3	2	1/2	1/2	1		3	33	A1	1		236
11	11	40	40	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2		232
11	11	40	40	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4		229
11	11	40	40	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4		226
11	11	40	40	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4		223
11	11	42	42	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		4	40	E2	2		237
11	11	42	42	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		233
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4		230
11	11	42	42	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		8	68	G#4	4		227
11	11	42	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4		224
11	11	43	43	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		3	45	A2	2		238
11	11	43	43	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		3	57	A3	3		234
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		231
11	11	43	43	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		228
11	11	43	43	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5		225
11	11	87/2	87/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		1	43	G2	2		239
11	11	87/2	87/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	55	G3	3		235
12	12	44	44	0.5	0	0	4/4	3	2	1/8	1/8	1		-1	41	F2	2		262
12	12	44	44	0.5	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3		255
12	12	44	44	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4		250
12	12	44	44	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4		244
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5		240
12	12	89/2	89/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		4	40	E2	2		263
12	12	89/2	89/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		256
12	12	89/2	89/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4		245
12	12	45	45	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		2	38	D2	2		264
12	12	45	45	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		257
12	12	45	45	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		251
12	12	45	45	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4		246
12	12	45	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		241
12	12	91/2	91/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4		252
12	12	46	46	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		2	38	D2	2		265
12	12	46	46	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3		258
12	12	46	46	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3		253
12	12	46	46	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		247
12	12	46	46	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4		242
12	12	93/2	93/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		7	37	C#2	2		266
12	12	93/2	93/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3		259
12	12	47	47	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		2	38	D2	2		267
12	12	47	47	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3		260
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3		254
12	12	47	47	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4		248
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		243
12	12	95/2	95/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		-1	41	F2	2		268
12	12	95/2	95/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		261
12	12	95/2	95/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		249
13	13	48	48	2.0	0	0	4/4	3	2	1/2	1/2	1		3	45	A2	2		278
13	13	48	48	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3		274
13	13	48	48	2.0	0	0	4/4	2	2	1/2	1/2	1		3	57	A3	3		276
13	13	48	48	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4		271
13	13	48	48	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4		269
13	13	51	51	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		-1	29	F1	1		279
