mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
12	11	27	30	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-4	44	Ab2	2	177
12	11	27	30	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	172
12	11	27	30	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	167
12	11	27	30	0.5		1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	162
12	11	27	30	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	157
12	11	55/2	61/2	0.5		5/8	5/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	163
12	11	28	31	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		1	43	G2	2	178
12	11	28	31	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	173
12	11	28	31	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	168
12	11	28	31	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	164
12	11	28	31	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	158
13	12	29	32	3.0		0	0	4/4	3	2	3/4	1/2	3/2		0	36	C2	2	187
13	12	29	32	3.0		0	0	4/4	2	2	3/4	1/2	3/2		0	48	C3	3	185
13	12	29	32	3.0		0	0	4/4	2	1	3/4	1/2	3/2		-3	63	Eb4	4	183
13	12	29	32	3.0		0	0	4/4	1	2	3/4	1/2	3/2		1	67	G4	4	181
13	12	29	32	3.0		0	0	4/4	1	1	3/4	1/2	3/2		0	72	C5	5	179
13	12	32	35	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	188
13	12	32	35	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	186
