mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	102								9		
6	5	35/2	35/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	103								9		
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	104										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	105										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	106								10		
6	5	39/2	39/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	107										
6	5	41/2	41/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	108										
6	5	83/4	83/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	109										
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	110										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	111										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	112										
6	5	19	19	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	113								11		
6	5	77/4	77/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	114								11		
6	5	39/2	39/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	115										
6	5	41/2	41/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	116										
6	5	83/4	83/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	117										
6	5	17	17	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	118										
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	119										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	120										
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	121										
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	122										
6	5	17	17	1.5	0	0	Chord	4/4	4	2	3/8	1/4	3/2	123										
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	124										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	125										
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	126										
6	5	20	20	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	127										
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	128	froh							12		
7	6	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	129										
7	6	23	23	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	130	sein;									
7	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
7	6	24	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	131	Chri-									
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	132										
7	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	133								13		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	134								13		
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	135										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	136										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	137										
7	6	21	21	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	138								14		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	139								14		
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	140										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	141										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	142										
7	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	143								15		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	144								15		
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	145								15		
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	146										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	147										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	148										
7	6	21	21	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	149								16		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	150								16		
7	6	22	22	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	151								16		
