mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	121												
8	6	24	24	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	122												
8	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	123												
8	6	21	21	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	124												7
8	6	43/2	43/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	125												7
8	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	126												
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	127												
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	128												
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	129												
8	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	130												
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	131												
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	132												
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	133												
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	134												
8	6	21	21	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	135												
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	136												
8	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	137												
8	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	138												
8	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	139												
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	140	-ret	was	-gen									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	141	die	da	im-									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	142	Welt	die-	-mer									
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	143		-net	mit									
9	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	144												
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	145												
9	7	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	146												8
9	7	53/2	53/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	147												8
9	7	107/4	107/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	148												
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	149												
9	7	28	28	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	150												9
9	7	113/4	113/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	151												9
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	152												
9	7	25	25	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	153												
9	7	53/2	53/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	154												
9	7	107/4	107/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	155												
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	156												
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	157												
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	158												
9	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	159												
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	160												
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	161												
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	162												
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	163												
9	7	25	25	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	164												
9	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	165												
9	7	27	27	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	166												
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	167												
9	7	28	28	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	168												
10	8	29	29	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
10	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	169	weit	dei-	ho-									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	170	und	-ner	-her									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	171	breit.	Ehr'	Stimm':									
10	8	29	29	0.25	0	0	Chord	4/4	1	2	1/16	1/16	1	172												10
10	8	117/4	117/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16	1/16	1	173												10
10	8	59/2	59/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	174												
10	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	175												
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	176												
10	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	177												
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	178												
10	8	30	30	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	179												
10	8	123/4	123/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	180												
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	181												
10	8	29	29	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	182												
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	183												
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	184												
10	8	29	29	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	185												
10	8	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	186												
