mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	5	37/2	37/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	130									4
6	5	75/4	75/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	131									
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	132									
6	5	39/2	39/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	133									
6	5	79/4	79/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	134									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	135									
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	136									
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	137									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	138									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	139									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	140									
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	141									
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	142									
6	5	18	18	1.5	1/4	1/4	Chord	4/4	2	2	3/8	1/4	3/2	143									
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	144									
6	5	20	20	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	145									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	146									
6	5	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	147									
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	148									
6	5	18	18	1.5	1/4	1/4	Chord	4/4	3	2	3/8	1/4	3/2	149									
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	150									
6	5	20	20	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	151									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	152									
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
7	6	21	21	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	153	Hülf'	treu-							5
7	6	87/4	87/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	154									5
7	6	175/8	175/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	155									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	156	noch	-er							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	157	Rath,	Gott,							
7	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	158	ob	um							
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	159									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	160									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	161									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	162									
7	6	21	21	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	163									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	164									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	165									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	166									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	167									
7	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	168									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	169									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	170									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	171									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	172									
7	6	21	21	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	173									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	174									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	175									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	176									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	177									
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	178	wir	Ret-							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	179	gleich	-tung							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	180	sor-	aus							
8	7	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	181	-gen	der							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	182									
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	183									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	184									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	185									
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	186									
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	187									
8	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	188									
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	189									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	190									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	191									6
8	7	55/2	55/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	192									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	193									
8	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	194									
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	195									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	196									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	197									
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	198									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	199									
8	7	57/2	57/2	0.25	7/8	7/8	Chord	4/4	2	2	1/16	1/16	1	200									
8	7	115/4	115/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	201									
8	7	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	202									
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	203									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	204									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	205									
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	206									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	207									
8	7	57/2	57/2	0.25	7/8	7/8	Chord	4/4	3	2	1/16	1/16	1	208									
8	7	115/4	115/4	0.25	15/16	15/16	Chord	4/4	3	2	1/16	1/16	1	209									
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	210	früh	Angst							
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0	
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	211	und	und							
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	212	spat.	Noth.							
9	8	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	213									
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	214									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	215									
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	216									
9	8	30	30	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	217									7
9	8	121/4	121/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	218									7
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	219									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	220									
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	221									
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	222									
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	223									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	224									
9	8	29	29	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	225									
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	226									
9	8	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	227									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	228									
