mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	244													
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	245													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	246													
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	247	mei-	dei-	Glau-										
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	248	-nem	-ne	-bens										
12	12	46	46	0.0	1/2	1/2	Tempo	4/4	1	1	0											𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	249	Her-	Gnad'	Ziel										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	250	-zen	er-	er-										
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	251													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	252													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	253													
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	254													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	255													
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	256													
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	257													
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	258													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	259													
12	12	44	44	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	260													
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	261													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	262													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	263													
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	264													
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	265													
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	266													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	267													
12	12	44	44	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	268													
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	269													
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	270													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	271													
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	272													
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	273													
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	274													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	275													
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
