mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	194										
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	195										
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	196										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	197										
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	198	Wil-	stil-								2
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	199										2
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	200										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	201	-le;	-le.								
5	4	13	13	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	202										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	203										
5	4	13	13	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	204										3
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	205										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	206										
5	4	13	13	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	207										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	208										
5	4	13	13	1.0	0	0	Chord	4/4	3	3	1/4	1/4	1	209										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	210										
5	4	13	13	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	211										
5	4	14	14	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	212										
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	213										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	214										
5	4	13	13	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	215										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	216										
5	4	13	13	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	217										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	218										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	219										
5	4	13	13	1.0	0	0	Chord	4/4	6	3	1/4	1/4	1	220										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	6	3	1/4	1/4	1	221										
5	4	13	13	2.0	0	0	Chord	4/4	7	2	1/2	1/2	1	222										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	7	2	1/4	1/4	1	223										
5	4	13	13	1.0	0	0	Chord	4/4	7	3	1/4	1/4	1	224										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	7	3	1/4	1/4	1	225										
5	4	15	15	1.0	1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	226										
5	4	13	13	1.0	0	0	Chord	4/4	8	3	1/4	1/4	1	227										
5	4	14	14	1.0	1/4	1/4	Chord	4/4	8	3	1/4	1/4	1	228										
6	5	16	16	0.0	0	3/4	Tempo	4/4	1	1	0								𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
6	5	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	229										
6	5	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	230	Er									
6	5	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	231										
6	5	16	16	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	232										
6	5	16	16	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	233										
6	5	16	16	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	234										
6	5	16	16	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	235										
6	5	16	16	1.0	0	3/4	Chord	4/4	6	1	1/4	1/4	1	236										
6	5	16	16	1.0	0	3/4	Chord	4/4	7	2	1/4	1/4	1	237										
6	5	16	16	1.0	0	3/4	Chord	4/4	8	2	1/4	1/4	1	238										
7	6	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	239										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	240										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	241										
7	6	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	242										
7	6	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	243	ist									
7	6	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	244	mein									
7	6	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	245	Gott,									
7	6	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	246	der									
7	6	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	247										
7	6	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	248										
7	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	249										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	250										
7	6	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	251										
7	6	17	17	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	252										
7	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	253										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	254										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	255										
7	6	20	20	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	256										
7	6	17	17	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	257										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	258										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	259										
7	6	20	20	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	260										
7	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	261										
7	6	17	17	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	262										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	263										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	264										
7	6	20	20	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	265										
7	6	17	17	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	266										
7	6	18	18	0.5	1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	267										
7	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	268										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	269										
7	6	20	20	1.0	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	270										
7	6	17	17	0.5	0	0	Chord	4/4	6	1	1/8	1/8	1	271										
7	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	6	1	1/8	1/8	1	272										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	273										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	274										
7	6	20	20	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	275										
7	6	17	17	1.0	0	0	Chord	4/4	7	2	1/4	1/4	1	276										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	7	2	1/4	1/4	1	277										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	7	2	1/4	1/4	1	278										
7	6	20	20	0.5	3/4	3/4	Chord	4/4	7	2	1/8	1/8	1	279										
7	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	7	2	1/8	1/8	1	280										
7	6	17	17	1.0	0	0	Chord	4/4	8	2	1/4	1/4	1	281										
7	6	18	18	1.0	1/4	1/4	Chord	4/4	8	2	1/4	1/4	1	282										
7	6	19	19	1.0	1/2	1/2	Chord	4/4	8	2	1/4	1/4	1	283										
7	6	20	20	0.5	3/4	3/4	Chord	4/4	8	2	1/8	1/8	1	284										
7	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	8	2	1/8	1/8	1	285										
8	7	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	286										
