mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	8	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148	zu	sei-	auch						
8	8	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
8	8	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	149	er-	-nen	im						
8	8	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	150									
8	8	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	151									
8	8	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	152									
8	8	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	153									
8	8	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	154									
8	8	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	155									
8	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	156									
8	8	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	157									
8	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	158									
8	8	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	159									
8	8	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	160									
8	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	161									
8	8	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	162									
8	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	163									
8	8	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	164									
8	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	165									
8	8	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	166									
8	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	167									
8	8	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	168									
8	8	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	169									
8	8	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	170									
8	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	171									
9	9	29	29	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
9	9	29	29	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	172	-stat-	Jün-	Le-						
9	9	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
9	9	61/2	61/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0	
9	9	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	173	-ten.	-gern:	-ben.						
9	9	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	174									8
9	9	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	175									
9	9	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	176									
9	9	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	177									9
9	9	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	178									9
9	9	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	179									9
9	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	180									
9	9	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	181									
9	9	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	182									
9	9	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	183									
9	9	29	29	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	184									
9	9	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	185									
