mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	257	Uns								
8	7	21	25	3.0	2	0	0	Chord	4/4	5	2	3/4	1/2	3/2	258									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	259									
8	7	21	25	3.0	2	0	0	Chord	4/4	6	1	3/4	1/2	3/2	260									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	261									
8	7	21	25	3.0	2	0	0	Chord	4/4	6	2	3/4	1/2	3/2	262									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	263									
8	7	21	25	3.0	2	0	0	Chord	4/4	7	1	3/4	1/2	3/2	264									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	265									
8	7	21	25	3.0	2	0	0	Chord	4/4	8	2	3/4	1/2	3/2	266									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	8	2	1/4	1/4	1	267									
8	7	21	25	3.0	2	0	0	Chord	4/4	9	2	3/4	1/2	3/2	268									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	269									
8	7	21	25	3.0	2	0	0	Chord	4/4	10	2	3/4	1/2	3/2	270									
8	7	24	28	1.0	2	3/4	3/4	Chord	4/4	10	2	1/4	1/4	1	271									
9	8	25	29	4.0		0	0	Chord	4/4	1	1	1	1	1	272		ornamentTrill							
9	8	25	29	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	273									
9	8	26	30	1.0		1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	274									
9	8	27	31	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	275									
9	8	28	32	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	276									
9	8	57/2	65/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	277									
9	8	25	29	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	278									
9	8	26	30	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	279									
9	8	27	31	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	280									
9	8	28	32	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	281									
9	8	25	29	1.0		0	0	Chord	4/4	3	1	1/4	1/4	1	282									
9	8	26	30	1.0		1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	283									
9	8	27	31	1.0		1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	284									
9	8	28	32	1.0		3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	285									
9	8	25	29	1.0		0	0	Chord	4/4	4	2	1/4	1/4	1	286									
9	8	26	30	1.0		1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	287									
9	8	27	31	0.5		1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	288									
9	8	55/2	63/2	0.5		5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	289									
9	8	28	32	1.0		3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	290									
9	8	25	29	1.0		0	0	Chord	4/4	5	1	1/4	1/4	1	291	seg-								
9	8	26	30	1.0		1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	292	-ne								
9	8	27	31	1.0		1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	293	Va-								
9	8	28	32	1.0		3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	294	-ter								
9	8	25	29	1.0		0	0	Chord	4/4	5	2	1/4	1/4	1	295									
9	8	26	30	1.0		1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	296									
9	8	27	31	0.5		1/2	1/2	Chord	4/4	5	2	1/8	1/8	1	297									
