mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
3	2	7	7	1.0	1/2	1/2	Chord	4/4	10	1	1/4	1/4	1	151											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	10	1	1/8	1/8	1	152											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	10	1	1/8	1/8	1	153											
3	2	5	5	1.0	0	0	Chord	4/4	11	1	1/4	1/4	1	154											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	11	1	1/4	1/4	1	155											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	11	1	1/4	1/4	1	156											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	11	1	1/8	1/8	1	157											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	11	1	1/8	1/8	1	158											
3	2	5	5	1.0	0	0	Chord	4/4	12	2	1/4	1/4	1	159											4
3	2	6	6	1.0	1/4	1/4	Chord	4/4	12	2	1/4	1/4	1	160											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	12	2	1/4	1/4	1	161											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	12	2	1/4	1/4	1	162											
3	2	5	5	1.0	0	0	Chord	4/4	13	2	1/4	1/4	1	163											5
3	2	6	6	1.0	1/4	1/4	Chord	4/4	13	2	1/4	1/4	1	164											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	13	2	1/4	1/4	1	165											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	13	2	1/4	1/4	1	166											
3	2	5	5	0.0	0	0	FiguredBass	4/4	14	1	0										1/4	6	5		
3	2	5	5	1.0	0	0	Chord	4/4	14	1	1/4	1/4	1	167											
3	2	6	6	0.0	1/4	1/4	FiguredBass	4/4	14	1	0										1/4	7			
3	2	6	6	1.0	1/4	1/4	Chord	4/4	14	1	1/4	1/4	1	168											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	14	1	1/4	1/4	1	169											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	14	1	1/4	1/4	1	170											
3	2	5	5	1.0	0	0	Chord	4/4	15	1	1/4	1/4	1	171											6
3	2	6	6	1.0	1/4	1/4	Chord	4/4	15	1	1/4	1/4	1	172											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	15	1	1/4	1/4	1	173											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	15	1	1/8	1/8	1	174											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	15	1	1/8	1/8	1	175											
4	3	9	9	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=72.37	72.0	𝅘𝅥	72.37	0.0					
4	3	9	9	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	176											
4	3	19/2	19/2	0.0	1/8	1/8	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0					
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	177											
4	3	10	10	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=67.3	67.0	𝅘𝅥	67.3	0.0					
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	178											
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0					𝅘𝅥=69.75	70.0	𝅘𝅥	69.75	0.0					
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	179											
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	180											
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0					
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	181											
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	182											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	183											
4	3	11	11	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	184											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	185											
4	3	9	9	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	186											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	187											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	188											
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	189											
4	3	23/2	23/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4	1/4	1	190											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	191											
