mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	5	2	1/8	1/8	1	173									
9	8	26	26	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	174									
9	8	27	27	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	175									
9	8	28	28	0.5	3/4	3/4	Chord	4/4	5	2	1/8	1/8	1	176									
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	177									
10	9	29	29	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
10	9	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	178		-gen							
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	179		Gei-							
10	9	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	180		-ste,							
10	9	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	181		der							
10	9	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	182									
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	183									
10	9	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	184									
10	9	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	185									
10	9	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	186									
10	9	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	187									
10	9	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	188									
10	9	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	189									
10	9	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	190									
10	9	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	191									
10	9	30	30	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	192									
10	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	193									
10	9	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	194									
10	9	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	195									
10	9	32	32	1.0	3/4	3/4	Chord	4/4	2	3	1/4	1/4	1	196									
10	9	29	29	0.5	0	0	Chord	4/4	5	2	1/8	1/8	1	197									
10	9	59/2	59/2	0.5	1/8	1/8	Chord	4/4	5	2	1/8	1/8	1	198									
10	9	30	30	0.5	1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	199									
10	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	200									
10	9	31	31	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	201									
10	9	32	32	1.0	3/4	3/4	Chord	4/4	5	3	1/4	1/4	1	202									
11	10	33	33	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	203		uns							
11	10	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	204									
11	10	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	205		sein'							
11	10	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	206		Hülf							
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	207									
11	10	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	208		all-							
11	10	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	209									
11	10	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	210									
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	211									
11	10	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	212									
11	10	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	213									
11	10	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	214									
11	10	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	215									
11	10	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	216									
11	10	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	217									
11	10	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	218									
11	10	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	219									
11	10	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	220									
11	10	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	221									
