mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
3	2	9	2b	26	6	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	46	23.8	24.58
3	2	9	2b	26	6	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	41	23.8	24.2
3	2	9	2b	26	6	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	34	23.8	24.2
3	2	9	2b	53/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	42	24.2	24.58
3	2	9	2b	53/2	13/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		1	67	G4	4	35	24.2	24.35
3	2	9	2b	107/4	27/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	36	24.35	24.58
3	2	9	2b	27	7	2.0	1/2	1/2	4/4	2	2	1/2		1/2	1		4	52	E3	3	52	24.58	26.22
3	2	9	2b	27	7	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		5	59	B3	3	47	24.58	25.08
3	2	9	2b	27	7	1.5	1/2	1/2	4/4	1	2	3/8		1/4	3/2		4	64	E4	4	43	24.58	25.92
3	2	9	2b	27	7	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		1	67	G4	4	37	24.58	25.92
3	2	9	2b	55/2	15/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		1	55	G3	3	48	25.08	25.58
3	2	9	2b	28	8	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	49	25.58	26.22
3	2	9	2b	57/2	17/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	44	25.92	26.22
3	2	9	2b	57/2	17/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		6	66	F#4	4	38	25.92	26.22
4	3	10	3b	29	9	2.0	0	0	4/4	2	2	1/2		1/2	1		4	52	E3	3	63	26.22	28.12
4	3	10	3b	29	9	2.0	0	0	4/4	2	1	1/2		1/2	1		1	55	G3	3	59	26.22	28.12
4	3	10	3b	29	9	2.0	0	0	4/4	1	1	1/2		1/2	1		4	64	E4	4	53	26.22	28.12
4	3	10	3b	29	9	2.0	0	0	4/4	1	2	1/2		1/2	1		4	64	E4	4	56	26.22	28.12
4	3	10	3b	31	11	1.5	1/2	1/2	4/4	2	2	3/8		1/4	3/2		4	52	E3	3	64	28.12	29.46
4	3	10	3b	31	11	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	55	G3	3	60	28.12	28.62
4	3	10	3b	31	11	1.5	1/2	1/2	4/4	1	2	3/8		1/4	3/2		1	67	G4	4	57	28.12	29.46
4	3	10	3b	31	11	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		0	72	C5	5	54	28.12	29.04
4	3	10	3b	63/2	23/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	61	28.62	29.04
4	3	10	3b	32	12	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	62	29.04	29.8
4	3	10	3b	32	12	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	55	29.04	29.8
4	3	10	3b	65/2	25/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	65	29.46	29.8
4	3	10	3b	65/2	25/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	58	29.46	29.8
5	4	11	4b	33	13	0.5	0	0	4/4	2	2	1/8		1/8	1		0	48	C3	3	84	29.8	30.26
5	4	11	4b	33	13	0.5	0	0	4/4	2	1	1/8		1/8	1		5	59	B3	3	78	29.8	30.26
5	4	11	4b	33	13	0.5	0	0	4/4	1	2	1/8		1/8	1		4	64	E4	4	72	29.8	30.26
5	4	11	4b	33	13	1.0	0	0	4/4	1	1	1/4		1/4	1		4	76	E5	5	66	29.8	30.7
5	4	11	4b	67/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	79	30.26	30.7
5	4	11	4b	67/2	27/2	1.0	1/8	1/8	4/4	2	2	1/4		1/4	1		0	60	C4	4	85	30.26	31.2
5	4	11	4b	67/2	27/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	73	30.26	30.7
5	4	11	4b	34	14	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		3	57	A3	3	80	30.7	31.2
5	4	11	4b	34	14	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		6	66	F#4	4	74	30.7	31.2
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	D5	5	67	30.7	31.38
5	4	11	4b	69/2	29/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	81	31.2	31.38
5	4	11	4b	69/2	29/2	0.5	3/8	3/8	4/4	2	2	1/8		1/8	1		5	59	B3	3	86	31.2	31.38
5	4	11	4b	69/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8		1/8	1		1	67	G4	4	75	31.2	31.38
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		3	57	A3	3	87	31.38	32.36
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		0	60	C4	4	82	31.38	32.36
5	4	11	4b	35	15	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		6	66	F#4	4	68	31.38	31.86
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	76	31.38	32.36
5	4	11	4b	71/2	31/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	69	31.86	32.36
5	4	11	4b	36	16	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	88	32.36	33.1
5	4	11	4b	36	16	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	83	32.36	33.1
5	4	11	4b	36	16	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4	77	32.36	33.1
5	4	11	4b	36	16	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	70	32.36	32.8
5	4	11	4b	73/2	33/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	71	32.8	33.1
6	5	12	5b	37	17	1.0	0	0	4/4	2	2	1/4		1/4	1		0	48	C3	3	98	33.1	34.02
6	5	12	5b	37	17	1.0	0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	94	33.1	34.02
6	5	12	5b	37	17	1.0	0	0	4/4	1	2	1/4		1/4	1		1	67	G4	4	91	33.1	34.02
6	5	12	5b	37	17	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	89	33.1	35.02
6	5	12	5b	38	18	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		2	50	D3	3	99	34.02	35.02
6	5	12	5b	38	18	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	95	34.02	34.52
6	5	12	5b	38	18	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	92	34.02	35.02
6	5	12	5b	77/2	37/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	96	34.52	35.02
