mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id	start	end
9	7	17	7b	56	28	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		109	41.48	42.28
10	8	18	8a	57	29	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3		127	42.28	43.12
10	8	18	8a	57	29	0.5	0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4		121	42.28	42.78
10	8	18	8a	57	29	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4		117	42.28	43.12
10	8	18	8a	57	29	1.0	0	0	4/4	1	1	1/4	1/4	1		1	79	G5	5		113	42.28	43.12
10	8	18	8a	115/2	59/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3		122	42.78	43.12
10	8	18	8a	58	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3		128	43.12	43.78
10	8	18	8a	58	30	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4		123	43.12	43.78
10	8	18	8a	58	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		118	43.12	43.78
10	8	18	8a	58	30	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5		114	43.12	43.78
10	8	18	8a	59	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3		129	43.78	44.38
10	8	18	8a	59	31	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61	C#4	4		124	43.78	44.08
10	8	18	8a	59	31	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4		119	43.78	44.38
10	8	18	8a	59	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	78	F#5	5		115	43.78	44.38
10	8	18	8a	119/2	63/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3		125	44.08	44.38
10	8	18	8a	60	32	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		130	44.38	44.65846153846154
10	8	18	8a	60	32	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		126	44.38	45.12
10	8	18	8a	60	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4		120	44.38	45.12
10	8	18	8a	60	32	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		116	44.38	45.12
10	8	18	8a	121/2	65/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		131	44.65846153846154	45.12
11	9	19	9a	61	33	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3		144	45.12	45.94
11	9	19	9a	61	33	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3		140	45.12	45.94
11	9	19	9a	61	33	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4		136	45.12	45.94
11	9	19	9a	61	33	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		132	45.12	45.94
11	9	19	9a	62	34	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2		145	45.94	46.58
11	9	19	9a	62	34	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4		141	45.94	46.58
11	9	19	9a	62	34	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		137	45.94	46.58
11	9	19	9a	62	34	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		133	45.94	46.58
11	9	19	9a	63	35	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2		146	46.58	47.34
11	9	19	9a	63	35	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4		142	46.58	47.34
11	9	19	9a	63	35	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4		138	46.58	47.34
11	9	19	9a	63	35	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4		134	46.58	47.34
11	9	19	9a	64	36	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	62	D4	4		147	47.34	48.12
11	9	19	9a	64	36	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4		143	47.34	48.12
11	9	19	9a	64	36	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4		139	47.34	48.12
11	9	19	9a	64	36	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		135	47.34	48.12
12	10	20	10a	65	37	1.0	0	0	4/4	2	2	1/4	1/4	1		2	62	D4	4		162	48.12	48.94
12	10	20	10a	65	37	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4		157	48.12	48.94
12	10	20	10a	65	37	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4		152	48.12	48.94
12	10	20	10a	65	37	1.0	0	0	4/4	1	1	1/4	1/4	1		1	79	G5	5		148	48.12	48.94
12	10	20	10a	66	38	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4		163	48.94	49.48
12	10	20	10a	66	38	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		158	48.94	49.48
12	10	20	10a	66	38	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		153	48.94	49.48
12	10	20	10a	66	38	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5		149	48.94	49.48
12	10	20	10a	67	39	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		7	61	C#4	4		164	49.48	50.26
12	10	20	10a	67	39	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4		159	49.48	50.26
12	10	20	10a	67	39	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4		154	49.48	50.26
12	10	20	10a	67	39	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	78	F#5	5		150	49.48	50.26
12	10	20	10a	68	40	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	59	B3	3		165	50.26	50.5
12	10	20	10a	68	40	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		160	50.26	50.5
12	10	20	10a	68	40	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4		155	50.26	50.5
12	10	20	10a	68	40	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		151	50.26	50.9
12	10	20	10a	137/2	81/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3		166	50.5	50.9
12	10	20	10a	137/2	81/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4		161	50.5	50.9
12	10	20	10a	137/2	81/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4		156	50.5	50.9
13	11	21	11a	69	41	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3		173	50.9	51.4
13	11	21	11a	69	41	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3		171	50.9	51.69833333333334
13	11	21	11a	69	41	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4		169	50.9	51.69833333333334
13	11	21	11a	69	41	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		167	50.9	51.69833333333334
13	11	21	11a	139/2	83/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		174	51.4	51.69833333333334
13	11	21	11a	70	42	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		175	51.69833333333334	51.96
13	11	21	11a	70	42	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		172	51.69833333333334	52.46
13	11	21	11a	70	42	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		170	51.69833333333334	52.46
13	11	21	11a	70	42	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5		168	51.69833333333334	52.46
13	11	21	11a	141/2	85/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3		176	51.96	52.46
14	12	22	12a	71	43	2.0	0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3		183	52.46	54.46
14	12	22	12a	71	43	2.0	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3		181	52.46	54.46
14	12	22	12a	71	43	2.0	0	0	4/4	1	2	1/2	1/2	1		1	67	G4	4		179	52.46	54.46
14	12	22	12a	71	43	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4		177	52.46	54.46
14	12	22	12a	74	46	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2		184	54.64	55.44
14	12	22	12a	74	46	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3		182	54.64	55.44
14	12	22	12a	74	46	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		180	54.64	55.44
14	12	22	12a	74	46	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		178	54.64	55.44
15	13	23	13a	75	47	1.0	0	0	4/4	2	2	1/4	1/4	1		7	49	C#3	3		199	55.44	56.14
15	13	23	13a	75	47	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3		194	55.44	55.92
15	13	23	13a	75	47	1.0	0	0	4/4	1	2	1/4	1/4	1		11	65	E#4	4		189	55.44	56.14
15	13	23	13a	75	47	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5		185	55.44	56.14
15	13	23	13a	151/2	95/2	1.0	1/8	1/8	4/4	2	1	1/4	1/4	1		3	57	A3	3		195	55.92	56.46
15	13	23	13a	76	48	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		9	51	D#3	3		200	56.14	56.46
15	13	23	13a	76	48	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		190	56.14	56.46
15	13	23	13a	76	48	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		186	56.14	56.94
15	13	23	13a	153/2	97/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		11	53	E#3	3		201	56.46	56.94
15	13	23	13a	153/2	97/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3		196	56.46	56.94
15	13	23	13a	153/2	97/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4		191	56.46	56.94
15	13	23	13a	77	49	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3		197	56.94	57.48
15	13	23	13a	77	49	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3		202	56.94	57.48
15	13	23	13a	77	49	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		7	61	C#4	4		192	56.94	57.48
15	13	23	13a	77	49	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		187	56.94	57.48
15	13	23	13a	78	50	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		9	51	D#3	3		203	57.48	58.28
15	13	23	13a	78	50	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3		198	57.48	58.28
15	13	23	13a	78	50	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		193	57.48	58.28
15	13	23	13a	78	50	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		188	57.48	58.28
16	14	24	14a	79	51	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3		215	58.28	58.78
16	14	24	14a	79	51	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3		210	58.28	58.78
16	14	24	14a	79	51	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4		207	58.28	59.02
16	14	24	14a	79	51	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4		204	58.28	59.02
16	14	24	14a	159/2	103/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		216	58.78	59.02
16	14	24	14a	159/2	103/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3		211	58.78	59.02
16	14	24	14a	80	52	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		217	59.02	59.46
16	14	24	14a	80	52	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3		212	59.02	59.46
16	14	24	14a	80	52	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		208	59.02	59.96
16	14	24	14a	80	52	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		205	59.02	59.96
16	14	24	14a	161/2	105/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3		218	59.46	59.96
16	14	24	14a	161/2	105/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4		213	59.46	59.96
16	14	24	14a	81	53	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	59	B3	3		219	59.96	61.36
16	14	24	14a	81	53	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		9	63	D#4	4		209	59.96	61.36
16	14	24	14a	81	53	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	63	D#4	4		214	59.96	61.36
16	14	24	14a	81	53	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4		206	59.96	61.36
17	15	25	15a	84	56	2.0	1/4	1/4	4/4	2	2	1/2	1/2	1		1	55	G3	3		231	62.08	63.56
17	15	25	15a	84	56	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3		225	62.08	62.58
17	15	25	15a	84	56	2.0	1/4	1/4	4/4	1	2	1/2	1/2	1		4	64	E4	4		223	62.08	63.56
17	15	25	15a	84	56	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		220	62.08	62.92
17	15	25	15a	169/2	113/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		7	61	C#4	4		226	62.58	62.83
17	15	25	15a	339/4	227/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		2	62	D4	4		227	62.83	62.92
17	15	25	15a	85	57	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4		228	62.92	63.56
17	15	25	15a	85	57	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		221	62.92	63.56
17	15	25	15a	86	58	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3		232	63.56	64.02
17	15	25	15a	86	58	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4		229	63.56	64.02
17	15	25	15a	86	58	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4		224	63.56	64.52
17	15	25	15a	86	58	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		222	63.56	64.52
17	15	25	15a	173/2	117/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	55	G3	3		233	64.02	64.52
17	15	25	15a	173/2	117/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4		230	64.02	64.52
18	16	26	16a	87	59	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3		243	64.52	65.2
18	16	26	16a	87	59	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4		240	64.52	65.2
18	16	26	16a	87	59	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4		237	64.52	65.2
18	16	26	16a	87	59	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5		234	64.52	65.2
18	16	26	16a	88	60	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2		244	65.2	66.12
18	16	26	16a	88	60	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4		241	65.2	66.12
18	16	26	16a	88	60	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4		238	65.2	66.12
18	16	26	16a	88	60	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5		235	65.2	66.12
18	16	26	16a	89	61	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3		245	66.12	67.12
18	16	26	16a	89	61	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4		242	66.12	67.12
18	16	26	16a	89	61	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4		239	66.12	67.12
18	16	26	16a	89	61	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5		236	66.12	67.12
19	17	27	17a	92	64	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3		255	68.28	69.0
19	17	27	17a	92	64	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		252	68.28	69.0
19	17	27	17a	92	64	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4		249	68.28	69.0
19	17	27	17a	92	64	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4		246	68.28	69.0
19	17	27	17a	93	65	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		8	56	G#3	3		253	69.0	69.82
19	17	27	17a	93	65	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	62	D4	4		256	69.0	69.82
19	17	27	17a	93	65	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4		250	69.0	69.82
19	17	27	17a	93	65	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4		247	69.0	69.82
19	17	27	17a	94	66	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3		254	69.82	70.54
19	17	27	17a	94	66	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4		257	69.82	70.54
19	17	27	17a	94	66	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4		251	69.82	70.54
19	17	27	17a	94	66	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5		248	69.82	70.54
20	18	28	18a	95	67	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3		269	70.54	70.92
20	18	28	18a	95	67	1.5	0	0	4/4	2	2	3/8	1/4	3/2		5	59	B3	3		273	70.54	71.64
20	18	28	18a	95	67	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4		262	70.54	71.26
20	18	28	18a	95	67	0.5	0	0	4/4	1	1	1/8	1/8	1		2	74	D5	5		258	70.54	70.92
20	18	28	18a	191/2	135/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4		270	70.92	71.26
20	18	28	18a	191/2	135/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		4	76	E5	5		259	70.92	71.26
20	18	28	18a	96	68	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		2	62	D4	4		271	71.26	72.7
20	18	28	18a	96	68	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	74	D5	5		263	71.26	71.64
20	18	28	18a	96	68	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		6	78	F#5	5		260	71.26	72.7
20	18	28	18a	193/2	137/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3		274	71.64	72.04
20	18	28	18a	193/2	137/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		7	73	C#5	5		264	71.64	72.04
20	18	28	18a	97	69	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3		275	72.04	72.22
20	18	28	18a	97	69	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	71	B4	4		265	72.04	72.22
20	18	28	18a	195/2	139/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		276	72.22	72.7
20	18	28	18a	195/2	139/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4		266	72.22	72.7
20	18	28	18a	98	70	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		277	72.7	73.08
20	18	28	18a	98	70	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	7	61	C#4	4		272	72.7	73.58
20	18	28	18a	98	70	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		5	71	B4	4		267	72.7	73.08
20	18	28	18a	98	70	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5		261	72.7	73.58
20	18	28	18a	197/2	141/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3		278	73.08	73.58
20	18	28	18a	197/2	141/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		7	73	C#5	5		268	73.08	73.58
21	19	29	19a	99	71	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3		292	73.58	74.48
21	19	29	19a	99	71	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	7	61	C#4	4		289	73.58	74.48
21	19	29	19a	99	71	1.0	0	0	4/4	1	2	1/4	1/4	1		10	70	A#4	4		283	73.58	74.48
21	19	29	19a	99	71	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5		279	73.58	74.48
21	19	29	19a	100	72	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3		293	74.48	74.68
21	19	29	19a	100	72	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		5	59	B3	3		290	74.48	76.12
21	19	29	19a	100	72	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	71	B4	4		284	74.48	74.68
21	19	29	19a	100	72	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5		280	74.48	75.12
21	19	29	19a	201/2	145/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3		294	74.68	75.12
21	19	29	19a	201/2	145/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4		285	74.68	75.12
21	19	29	19a	101	73	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3		295	75.12	76.12
21	19	29	19a	101	73	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4		286	75.12	76.12
21	19	29	19a	101	73	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5		281	75.12	76.12
21	19	29	19a	102	74	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3		296	76.12	77.54
21	19	29	19a	102	74	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3		291	76.12	77.54
21	19	29	19a	102	74	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4		287	76.12	76.88
21	19	29	19a	102	74	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5		282	76.12	77.54
21	19	29	19a	205/2	149/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		288	76.88	77.54
22	20	30	20a	103	75	2.0	0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2		300	77.54	86.35999999999781
22	20	30	20a	103	75	2.0	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3		299	77.54	86.35999999999781
22	20	30	20a	103	75	2.0	0	0	4/4	1	2	1/2	1/2	1		9	63	D#4	4		298	77.54	86.35999999999781
22	20	30	20a	103	75	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4		297	77.54	86.35999999999781
