mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	6	13	6a	39	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	132
8	6	13	6a	39	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	126
8	6	13	6a	39	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	121
8	6	13	6a	40	24	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	138
8	6	13	6a	40	24	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	133
8	6	13	6a	40	24	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	127
8	6	13	6a	40	24	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	122
8	6	13	6a	81/2	49/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	139
8	6	13	6a	81/2	49/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	134
8	6	13	6a	81/2	49/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	128
8	6	13	6a	81/2	49/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	123
9	7	14	7a	41	25	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	158
9	7	14	7a	41	25	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	152
9	7	14	7a	41	25	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	145
9	7	14	7a	41	25	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	140
9	7	14	7a	42	26	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	159
9	7	14	7a	42	26	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	153
9	7	14	7a	42	26	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	146
