mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
6	6	11	6a	42	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3		92
6	6	11	6a	42	22	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		0	60	C4	4		88
6	6	11	6a	42	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4		85
6	6	11	6a	85/2	45/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		5	59	B3	3		89
6	6	11	6a	43	23	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3		98
6	6	11	6a	43	23	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4		93
6	6	11	6a	43	23	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4		90
6	6	11	6a	43	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4		86
6	6	11	6a	87/2	47/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3		94
7	7	12	7a	44	24	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3		117
7	7	12	7a	44	24	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3		111
7	7	12	7a	44	24	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4		103
7	7	12	7a	44	24	1.5	0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4		99
7	7	12	7a	89/2	49/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	43	G2	2		118
7	7	12	7a	89/2	49/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		104
7	7	12	7a	45	25	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2		119
7	7	12	7a	45	25	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		0	60	C4	4		112
7	7	12	7a	45	25	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4		105
7	7	12	7a	91/2	51/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		120
7	7	12	7a	91/2	51/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3		113
7	7	12	7a	91/2	51/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4		106
7	7	12	7a	91/2	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4		100
7	7	12	7a	46	26	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3		121
7	7	12	7a	46	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1	1	1	55	G3	3		114
7	7	12	7a	46	26	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4		107
7	7	12	7a	46	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4		101
7	7	12	7a	93/2	53/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1	1	0	60	C4	4		108
7	7	12	7a	47	27	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2		122
7	7	12	7a	47	27	0.75	3/4	3/4	4/4	2	1	3/16	1/8	3/2	-1	1	55	G3	3		115
7	7	12	7a	47	27	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	0	60	C4	4		109
