mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
10	5	14	5a	69/2	43/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	103	26.28	26.7
10	5	14	5a	69/2	43/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	96	26.28	26.7
10	5	14	5a	35	22	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	108	26.7	27.34
10	5	14	5a	35	22	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-1	65	F4	4	104	26.7	27.34
10	5	14	5a	35	22	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	97	26.7	27.34
10	5	14	5a	35	22	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	92	26.7	27.34
10	5	14	5a	36	23	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	109	27.34	28.038
10	5	14	5a	36	23	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	105	27.34	28.038
10	5	14	5a	36	23	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	98	27.34	27.7
10	5	14	5a	36	23	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	93	27.34	28.038
10	5	14	5a	73/2	47/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	99	27.7	28.038
11	6	15	6a	37	24	1.0		0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	122	28.038	28.66
11	6	15	6a	37	24	2.0		0	0	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	119	28.038	29.4
11	6	15	6a	37	24	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	115	28.038	28.66
11	6	15	6a	37	24	0.5		0	0	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	110	28.038	28.36
11	6	15	6a	75/2	49/2	0.5		1/8	1/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	111	28.36	28.66
11	6	15	6a	38	25	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	123	28.66	29.4
11	6	15	6a	38	25	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	116	28.66	29.4
11	6	15	6a	38	25	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	112	28.66	29.4
11	6	15	6a	39	26	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	124	29.4	30.32
11	6	15	6a	39	26	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	120	29.4	30.32
11	6	15	6a	39	26	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	117	29.4	30.32
11	6	15	6a	39	26	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	113	29.4	30.32
11	6	15	6a	40	27	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	125	30.32	31.04
11	6	15	6a	40	27	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	121	30.32	31.04
11	6	15	6a	40	27	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	118	30.32	31.04
11	6	15	6a	40	27	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	114	30.32	31.04
12	7	16	7a	41	28	1.0		0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	140	31.04	31.84
12	7	16	7a	41	28	1.5		0	0	4/4	2	1	3/8	1/4	3/2		0	60	C4	4	136	31.04	32.02
12	7	16	7a	41	28	1.0		0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	130	31.04	31.84
12	7	16	7a	41	28	1.0		0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	126	31.04	31.84
12	7	16	7a	42	29	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		-1	53	F3	3	141	31.84	32.02
12	7	16	7a	42	29	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	131	31.84	32.02
12	7	16	7a	42	29	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	127	31.84	32.36
12	7	16	7a	85/2	59/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	142	32.02	32.36
12	7	16	7a	85/2	59/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	137	32.02	32.36
12	7	16	7a	85/2	59/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	132	32.02	32.36
12	7	16	7a	43	30	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	143	32.36	33.16
12	7	16	7a	43	30	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	138	32.36	33.16
12	7	16	7a	43	30	0.5		1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	133	32.36	32.8
12	7	16	7a	43	30	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	128	32.36	33.16
12	7	16	7a	87/2	61/2	0.5		5/8	5/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	134	32.8	33.16
12	7	16	7a	44	31	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	144	33.16	33.92
12	7	16	7a	44	31	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	139	33.16	33.92
12	7	16	7a	44	31	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	135	33.16	33.92
12	7	16	7a	44	31	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	129	33.16	33.92
13	8	17	8a	45	32	3.0		0	0	4/4	2	2	3/4	1/2	3/2		0	48	C3	3	151	33.92	36.4
13	8	17	8a	45	32	3.0		0	0	4/4	2	1	3/4	1/2	3/2		-3	63	Eb4	4	149	33.92	36.4
13	8	17	8a	45	32	3.0		0	0	4/4	1	2	3/4	1/2	3/2		1	67	G4	4	147	33.92	36.4
13	8	17	8a	45	32	3.0		0	0	4/4	1	1	3/4	1/2	3/2		0	72	C5	5	145	33.92	36.4
13	8	17	8a	48	35	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	152	36.4	37.08
13	8	17	8a	48	35	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	150	36.4	37.08
13	8	17	8a	48	35	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	148	36.4	37.08
13	8	17	8a	48	35	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	146	36.4	37.08
14	9	18	9a	49	36	1.0		0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	168	37.08	37.78
14	9	18	9a	49	36	1.0		0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	163	37.08	37.78
