mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	7	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	196									
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	197									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	198									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	199									
9	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	200									
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	201									
10	8	29	29	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0	
10	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	202		Un-							
10	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	203		-ter-							
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	204		-lass,							
10	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	205		all'							
10	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	206									
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	207									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	208									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	209									
10	8	32	32	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	210									
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	211									
10	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	212									
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	213									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	214									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	215									
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	216									
10	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	217									
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	218									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	219									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	220									
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	221									
10	8	29	29	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	222									
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	223									
10	8	30	30	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	224									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	225									
10	8	32	32	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	226									
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	227		Fehd'							
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	228		hat							
11	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
11	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	229		nun							
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	230									
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	231		ein							
11	9	73/2	73/2	0.0	7/8	7/8	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
11	9	33	33	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	232									
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	233									
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	234									
11	9	35	35	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	235									
11	9	73/2	73/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	236									
11	9	147/4	147/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	237									
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	238									
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	239									
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	240									
11	9	35	35	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	241									
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	242									
11	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	243									
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	244									
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	245									
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	246									
11	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	247									
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	248									
11	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	249									
11	9	34	34	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	250									
11	9	35	35	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	251									
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	252									
11	9	36	36	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	253									
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	254									
12	10	37	37	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0	
12	10	37	37	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	255		En-							7
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	256									7
12	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=42	42.0	𝅘𝅥	42.0	0.0	
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	257									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	258		-de.							
12	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	259									8
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	260									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	261									
12	10	37	37	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	262									9
12	10	75/2	75/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	263									9
12	10	151/4	151/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	264									9
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	265									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	266									
