mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	232							22
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	233							
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	234							23
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	235							23
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	236							
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	237							
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	238							24
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	239							
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	240							
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	241							
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	242							
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	243							
14	14	52	52	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	244	-sten						
14	14	53	53	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	245	Thron.						
14	14	52	52	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	246							22
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	247							22
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	248							
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	249							
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	250							
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	251							24
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	252							
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	253							25
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	254							25
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	255							
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	256							
14	14	52	52	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	257							
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	258							
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	259							
