mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
26	24	377/4	377/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	468								42		
26	24	189/2	189/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	469										
26	24	191/2	191/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	470										
26	24	96	96	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	471										
26	24	193/2	193/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	472										
26	24	97	97	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	473										
26	24	195/2	195/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	474										
26	24	94	94	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	475										
26	24	95	95	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	476										
26	24	96	96	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	477										
26	24	193/2	193/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	478										
26	24	97	97	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	479										
27	25	98	98	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
27	25	98	98	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	480	froh							43		
27	25	197/2	197/2	0.0	1/8	1/8	Tempo	4/4	1	1	0						𝅘𝅥=57	57.0	𝅘𝅥	57.0	0.0	43		
27	25	99	99	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
27	25	99	99	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	481										
27	25	199/2	199/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0			
27	25	100	100	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	482	sein;									
27	25	101	101	0.0	3/4	3/4	Dynamic	4/4	1	1	0					ff								
27	25	101	101	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
27	25	101	101	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	483	Chri-									
27	25	203/2	203/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=55.3	55.0	𝅘𝅥	55.3	0.0			
27	25	203/2	203/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	484										
27	25	98	98	0.25	0	0	Chord	4/4	1	2	1/16	1/16	1	485								44		
27	25	393/4	393/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16	1/16	1	486								44		
27	25	197/2	197/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	487								44		
27	25	99	99	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	488								44		
27	25	199/2	199/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	489										
27	25	100	100	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	490										
27	25	101	101	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	491										
27	25	203/2	203/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	492										
27	25	98	98	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	493								45		
27	25	393/4	393/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	494								45		
27	25	197/2	197/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	495								45		
27	25	199/2	199/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	496										
27	25	100	100	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	497										
27	25	101	101	0.0	3/4	3/4	Dynamic	4/4	2	1	0					ff								
27	25	101	101	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	498										
27	25	98	98	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	499								46		
27	25	197/2	197/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	500								46		
27	25	99	99	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	501								46		
27	25	199/2	199/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	502										
27	25	100	100	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	503										
27	25	101	101	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	504										
28	26	102	102	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=57	57.0	𝅘𝅥	57.0	0.0			
28	26	102	102	0.0	0	0	Spanner	4/4	1	1	0												0	
28	26	102	102	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	505	-stus								0	
28	26	205/2	205/2	0.0	1/8	1/8	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0		0	
28	26	103	103	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	506	will								0	
28	26	104	104	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	507	un-								0	
28	26	105	105	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	508	-ser								0	
28	26	211/2	211/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0		0	
28	26	102	102	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	509									0	
28	26	103	103	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	510								47	0	
28	26	207/2	207/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	511								47	0	
28	26	415/4	415/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	512									0	
28	26	104	104	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	513									0	
28	26	105	105	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	514								48	0	
28	26	211/2	211/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	515								48	0	
28	26	423/4	423/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	516									0	
28	26	102	102	0.0	0	0	Spanner	4/4	2	1	0												1	
28	26	102	102	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	517								49	1	
28	26	205/2	205/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	518								49	1	
28	26	411/4	411/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	519									1	
28	26	103	103	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	520									1	
28	26	104	104	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	521								50	1	
28	26	209/2	209/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	522								50	1	
28	26	419/4	419/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	523									1	
28	26	105	105	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	524								51	1	
28	26	211/2	211/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	525								51	1	
28	26	423/4	423/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	526									1	
28	26	102	102	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	527									1	
28	26	103	103	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	528									1	
28	26	207/2	207/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	529									1	
28	26	104	104	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	530									1	
28	26	209/2	209/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	531									1	
28	26	105	105	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	532									1	
29	27	106	106	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=54	54.0	𝅘𝅥	54.0	0.0		0	
29	27	106	106	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	533	Trost							52	0	
29	27	107	107	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0		0	
29	27	107	107	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	534									0	
29	27	215/2	215/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=48	48.0	𝅘𝅥	48.0	0.0		0	
29	27	108	108	0.0	1/2	1/2	Dynamic	4/4	1	1	0					f								
29	27	108	108	0.0	1/2	1/2	Spanner	4/4	1	1	0													
29	27	108	108	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	535	sein.									
29	27	106	106	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	536								53		
29	27	213/2	213/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	537								53		
29	27	215/2	215/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	538										
29	27	108	108	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	539										
29	27	106	106	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	540								54	1	
29	27	213/2	213/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	541								54	1	
29	27	107	107	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	542								54	1	
29	27	215/2	215/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	543									1	
29	27	108	108	0.0	1/2	1/2	Dynamic	4/4	2	1	0					f								
29	27	108	108	0.0	1/2	1/2	Spanner	4/4	2	1	0													
29	27	108	108	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	544										
29	27	106	106	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	545										
29	27	213/2	213/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	546										
29	27	107	107	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	547										
29	27	108	108	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	548										
30	28	110	110	0.0	0	0	Dynamic	4/4	1	1	0					f								
30	28	110	110	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=48	48.0	𝅘𝅥	48.0	0.0			
30	28	110	110	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	549	Ky-									
30	28	111	111	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=47.5	48.0	𝅘𝅥	47.5	0.0			
30	28	111	111	0.0	1/4	1/4	Spanner	4/4	1	1	0												2	
30	28	111	111	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	550	-rie								2	
30	28	112	112	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=46.5	46.0	𝅘𝅥	46.5	0.0		2	
30	28	112	112	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	551	e-								2	
30	28	113	113	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=46	46.0	𝅘𝅥	46.0	0.0		2	
30	28	227/2	227/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=43	43.0	𝅘𝅥	43.0	0.0		2	
30	28	110	110	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	552									2	
30	28	111	111	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	553									2	
30	28	112	112	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	554								55	2	
30	28	225/2	225/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	555								55	2	
30	28	113	113	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	556								55	2	
30	28	453/4	453/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	557								55	2	
30	28	227/2	227/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	558								55	2	
30	28	110	110	0.0	0	0	Dynamic	4/4	2	1	0					f								
30	28	110	110	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	559										
30	28	221/2	221/2	0.0	1/8	1/8	Spanner	4/4	2	1	0												3	
30	28	221/2	221/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	560									3	
30	28	111	111	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	561								56	3	
30	28	112	112	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	562								56	3	
30	28	225/2	225/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	563								56	3	
30	28	451/4	451/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	564									3	
30	28	113	113	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	565								57	3	
30	28	110	110	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	566									3	
30	28	221/2	221/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	567									3	
30	28	111	111	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	568									3	
30	28	223/2	223/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	569									3	
30	28	112	112	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	570								58	3	
30	28	225/2	225/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	571								58	3	
30	28	113	113	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	572								58	3	
30	28	227/2	227/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	573									3	
31	29	114	114	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=42	42.0	𝅘𝅥	42.0	0.0		2	
31	29	114	114	4.0	0	0	Chord	4/4	1	1	1	1	1	574	-leis!								2	
31	29	231/2	231/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0		2	
31	29	116	116	0.0	1/2	1/2	Spanner	4/4	1	1	0													
31	29	114	114	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	575								55		
31	29	229/2	229/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	576								55		
31	29	115	115	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	577								55		
31	29	231/2	231/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	578										
31	29	116	116	0.0	1/2	1/2	Dynamic	4/4	1	2	0					mf								
31	29	116	116	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	579										
31	29	114	114	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	580								57	3	
31	29	229/2	229/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	581								57	3	
31	29	115	115	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	582								57	3	
31	29	231/2	231/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	583									3	
31	29	116	116	0.0	1/2	1/2	Dynamic	4/4	2	1	0					mf								
31	29	116	116	0.0	1/2	1/2	Spanner	4/4	2	1	0													
31	29	116	116	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	584										
31	29	114	114	4.0	0	0	Chord	4/4	2	2	1	1	1	585										
