mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
10	8	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	153		-lich						
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	154								
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	155								
10	8	31	31	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	156								
10	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	157								
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	158								
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	159								
10	8	31	31	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	160								
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	161								
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	162								
10	8	31	31	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	163								
10	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	164								
10	8	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	165								
10	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	166								
11	9	33	33	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	167		hell						
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	168								
11	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	169		zu						
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	170								
11	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
11	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	171		dei-						
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	172								
11	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	173		-ner						
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	174								
11	9	33	33	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	175								
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	176								
11	9	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	177								
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	178								
