mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
13	11	43	43	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	172	und							
13	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	173	auch							
13	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	174								
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	175								
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	176								
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	177								
13	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	178								
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	179								
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	180								
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	181								
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	182								
13	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	183								
13	11	42	42	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	184								
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	185								
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	186								
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	187								
14	12	45	45	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	188	dort.							
14	12	45	45	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	189								
14	12	45	45	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	190								
14	12	45	45	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	191								
