mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
4	3	9	9	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	52												4
4	3	19/2	19/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	53												4
4	3	10	10	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	5h	#			4
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	54												
4	3	11	11	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	#				
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	55												
4	3	12	12	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	6				
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	56												
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	57												5
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	58												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	59												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	60												
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	61	was											
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0						
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	62	sie											
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	63	soll,											
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	64	auf											
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	65												
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	66												
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	67												
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	68												
5	4	16	16	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	69												
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	70												
5	4	13	13	0.0	0	0	FiguredBass	4/4	2	1	0										1/8	7	*			
5	4	13	13	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	71												
5	4	27/2	27/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0										1/8	6	4	3	*	
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	72												
5	4	14	14	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	6	4	2	*	
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	73												
5	4	29/2	29/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	7	*			
5	4	15	15	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	#				
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	74												
5	4	16	16	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	6				
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	75												
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	76												
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	77												6
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	78												
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	79												
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	80												
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0						
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	81	die-											
6	5	18	18	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	82	-sen											
6	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	83	Tag											
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	84	voll-											7
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	85												
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	86												
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	87												
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	88												
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	89												
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	90												
6	5	18	18	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	6	*			
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	91												
6	5	19	19	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	6	4	2		
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	92												
6	5	39/2	39/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	6	5			
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	93												
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94												
