mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	219											
13	11	43	43	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	220											
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	221											
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	222											
13	11	41	41	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	223											
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	224											
13	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	225											
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	226											
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	227											
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	228											
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	229											
13	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	230											
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	231											
13	11	42	42	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	232											
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	233											
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	234											
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	235											
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	236											
14	12	45	45	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	237	-preist!	kann.									
14	12	45	45	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	238											
14	12	45	45	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	239											
14	12	45	45	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	240											
