mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
12	10	75/2	79/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	153	auch							
12	10	38	40	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	154	end-							
12	10	77/2	81/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	155								
12	10	39	41	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	156	-lich							
12	10	79/2	83/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	157								
13	11	40	42	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	158	Er-							4
13	11	41	43	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	159								4
13	11	43	45	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	160								
13	11	40	42	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	161	end-							
13	11	81/2	85/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	162	-lich							
13	11	41	43	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	163	in							
13	11	83/2	87/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	164	der							
13	11	42	44	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	165	Er-							
13	11	40	42	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	166								
13	11	41	43	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	167								
13	11	42	44	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	168								
13	11	40	42	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	169	in							
13	11	81/2	85/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	170								
13	11	41	43	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	171	der							
13	11	42	44	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	172	Er-							
14	12	44	46	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	173	-de							
14	12	45	47	0.0		1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
14	12	47	49	0.0		3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
14	12	47	49	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	174	nim-							
14	12	95/2	99/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	175	-mer-							
14	12	44	46	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	176	-de							
