mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
7	6	23	23	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	181										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	182										
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	183										
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	184										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	185										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	186										
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	187										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	188										
8	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	189										
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	190										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	191										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	192										
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	193										
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	194										
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	195										
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	196	-lich									
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	197	zu									
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	198										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	199	Spot-									6
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	200										6
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	201										
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	202										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	203										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	204										7
8	7	55/2	55/2	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	205										7
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	206										7
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	207										7
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	208										
8	7	25	25	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	209										
8	7	26	26	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	210										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	211										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	212										8
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	213										8
8	7	28	28	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	214										
8	7	25	25	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	215										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	216										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	217										9
8	7	55/2	55/2	0.25	5/8	5/8	Chord	4/4	3	2	1/16	1/16	1	218										9
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	3	2	1/16	1/16	1	219										9
8	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	220										9
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	221										
8	7	25	25	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	222										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	223										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	224										10
8	7	55/2	55/2	0.25	5/8	5/8	Chord	4/4	4	2	1/16	1/16	1	225										10
