mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	181									
11	9	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	182									
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	183									
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	184									
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	185									
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	186									
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	187									
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	188									
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	189									
11	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	190									
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	191									
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	192									
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	193									
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	194									
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	195									
12	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	196		se-							
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	197		-hen							
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	198		Dich							
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	199		in							
12	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	200									
12	10	38	38	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	201									
12	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	202									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	203									
12	10	40	40	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	204									
