cd	track	title	bwv	text
1	49	Wo Gott der Herr nicht bei uns hält	 258	Wo Gott der Herr nicht bei uns hält
1	50	Wo Gott der Herr nicht bei uns hält	 178	Wo Gott der Herr nicht bei uns hält
1	67	Kommt her zu mir, spricht Gottes Sohn	 108	Kommt her zu mir, spricht Gottes Sohn
1	68	Lass, o Herr, dein Ohr sich neigen	 372	Lass, o Herr, dein Ohr sich neigen
1	69	Liebster Jesu, wir sind hier	 373	Liebster Jesu, wir sind hier
1	70	Liebster Immanuel, Herzog der Frommen	 123	Liebster Immanuel, Herzog der Frommen
1	77	Meinen Jesum lass' ich nicht	 380	Meinen Jesum lass' ich nicht
1	78	Meinen Jesum lass' ich nicht.mp3		Meinen Jesum lass' ich nicht.mp3
1	79	Meinen Jesum lass' ich nicht	 124	Meinen Jesum lass' ich nicht
1	80	Meines Lebens letzte Zeit	 381	Meines Lebens letzte Zeit
1	98	O Gott, du frommer Gott	 64, 94	O Gott, du frommer Gott
1	99	O Gott, du frommer Gott	 399	O Gott, du frommer Gott
2	01	O wie selig seid ihr doch, ihr Frommen	 406	O wie selig seid ihr doch, ihr Frommen
2	02	Schmücke dich, o liebe Seele	 180	Schmücke dich, o liebe Seele
2	03	Als der gütige Gott	 264	Als der gütige Gott
2	04	Das neugeborne Kindelein	 122	Das neugeborne Kindelein
2	05	Der Tag, der ist so freudenreich	 294	Der Tag, der ist so freudenreich
1	87	Nun bitten wir den heiligen Geist	 169	Nun bitten wir den heiligen Geist
1	88	Nun danket alle Gott	 386	Nun danket alle Gott
1	89	Nun freut euch, Gottes Kinder all	 387	Nun freut euch, Gottes Kinder all
1	90	Nun lasst uns Gott, dem Herren	 165	Nun lasst uns Gott, dem Herren
1	91	Nun lob', mein' Seel', den Herren	 389	Nun lob', mein' Seel', den Herren
1	101	O Welt, ich muß dich lassen	 392	O Welt, ich muß dich lassen
1	102	O wie selig seid ihr doch, ihr Frommen	 405	O wie selig seid ihr doch, ihr Frommen
1	11	Von Gott will ich nicht lassen	 418	Von Gott will ich nicht lassen
1	12	Von Gott will ich nicht lassen	 419	Von Gott will ich nicht lassen
1	13	Von Gott will ich nicht lassen, WoO.mp3		Von Gott will ich nicht lassen, WoO.mp3
