filename	cd	track	title	bwv	cd	track	track_title	recording_title	chorale	recording_id
01-54 Wo Gott zum Haus nicht gibt sein' Gunst, BWV 438.mp3	1	54	Wo Gott zum Haus nicht gibt sein' Gunst, BWV 438.mp3	438	1	54	Wo Gott zum Haus nicht gibt sein. Gunst BWV438	Wo Gott zum Haus nicht gibt sein' Gunst, BWV 438	389	fffb6703-b05c-4c05-b3d9-235ceba80861
01-55 Jesu, meine Freude (Cantata, BWV 64).mp3	1	55	Jesu, meine Freude (Cantata, BWV 64).mp3	64	2	1	Jesu, meine Freude (Cantata BWV64)	Jesu, meine Freude, Cantata BWV 64	200	c12230d1-4e1d-4ce9-ac6b-a18b4641ecd9
01-56 Jesu, meines Herzens Freud', BWV 361.mp3	1	56	Jesu, meines Herzens Freud', BWV 361.mp3	361	2	2	Jesu, meines Herzens Freud. BWV361	Jesu, meines Herzens Freud', BWV 361	202	8e2a60f5-be77-408f-a892-4de412b12423
01-57 Jesu, nun sei gepreiset, BWV 362.mp3	1	57	Jesu, nun sei gepreiset, BWV 362.mp3	362	2	3	Jesu, nun sei gepreiset BWV362	Jesu, nin sei gepreiset, BWV 362	203	26df3cab-076b-4257-8a98-e4351e77816c
01-58 Jesus, meine Zuversicht, BWV 365.mp3	1	58	Jesus, meine Zuversicht, BWV 365.mp3	365	2	4	Jesus, meine Zuversicht BWV365	Jesus, meine Zuversicht, BWV 365	208	2aa92602-a7bf-49bc-865e-e2331607ba35
01-59 Ihr Gestirn', ihr hohlen Lüfte, BWV 366.mp3	1	59	Ihr Gestirn', ihr hohlen Lüfte, BWV 366.mp3	366	2	5	Ihr Gestirn., ihr hohlen Lüfte BWV366	Ihr Gestirn', ihr hohlen Lüfte, BWV 366	210	dccde6e3-e566-4eab-b9bd-d61026bb9348
01-60 In allen meinen Thaten, BWV 367.mp3	1	60	In allen meinen Thaten, BWV 367.mp3	367	2	6	In allen meinen Thaten BWV367	In allen meinen Thaten, BWV 367	211	ec71ddfb-5ce6-4c31-a43b-552e796c4a5d
01-61 Ist Gott mein Schild und Helfersmann (Cantata, BWV 85).mp3	1	61	Ist Gott mein Schild und Helfersmann (Cantata, BWV 85).mp3	85	2	7	Ist Gott mein Schild und Helfersmann (Cantata BWV85)	Ist Gott mein Schild und Helfersmann, Cantata BWV 85	216	3d8d50df-82a3-4c4b-a88c-5b29dfb01df8
01-62 Keinen hat Gott verlassen, BWV 369.mp3	1	62	Keinen hat Gott verlassen, BWV 369.mp3	369	2	8	Keinen hat Gott verlassen BWV369	Keinen hat Gott verlassen, BWV 369	217	387a43af-b906-4309-b41c-13aed876c6eb
01-63 Komm, Gott Schöpfer, heiliger Geist, BWV 370.mp3	1	63	Komm, Gott Schöpfer, heiliger Geist, BWV 370.mp3	370	2	9	Komm, Gott Schöpfer, heiliger Geist BWV370	Komm, Gott Schöpfer, heiliger Geist, BWV 370	218	8363806d-afe6-4b2b-a460-604748a6e774
01-64 Komm, heiliger Geist, Herre Gott, BWV 226.mp3	1	64	Komm, heiliger Geist, Herre Gott, BWV 226.mp3	226	2	10	Komm, heiliger Geist, Herre Gott BWV226	Komm, heileger Geist, Herre Gott, BWV 226	221	61978acd-7fbb-4975-a040-a947bafcdf7e
01-65 Komm, Jesu komm, BWV 229.mp3	1	65	Komm, Jesu komm, BWV 229.mp3	229	2	11	Komm, Jesu komm BWV229	Komm, Jesu komm, BWV 229	222	b79d399f-75d1-47ce-8b30-439b1ff23f7d
01-66 Kommt her zu mir, spricht Gottes Sohn (Cantata, BWV 74).mp3	1	66	Kommt her zu mir, spricht Gottes Sohn (Cantata, BWV 74).mp3	74	2	12	Kommt her zu mir, spricht Gottes Sohn (Cantata BWV74)	Kommt her zu mir, spricht Gottes Sohn, Cantata BWV 74	223	9988c307-3599-4a8b-94be-ee9deb4db169
01-67 Kommt her zu mir, spricht Gottes Sohn (Cantata, BWV 108).mp3	1	67	Kommt her zu mir, spricht Gottes Sohn (Cantata, BWV 108).mp3	108	2	13	Kommt her zu mir, spricht Gottes Sohn (Cantata BWV108)	Kommt her zu mir, spricht Gottes Sohn, Cantata BWV 108	224	38c77251-f49a-41dc-92af-25eb06584622
01-68 Lass, o Herr, dein Ohr sich neigen, BWV 372.mp3	1	68	Lass, o Herr, dein Ohr sich neigen, BWV 372.mp3	372	2	14	Lass, o Herr, dein Ohr sich neigen BWV372	Lass, o Herr, dein Ohr sich neigen, BWV 372	226	072c25be-6bd9-4a25-b19d-070e6755bb55
01-69 Liebster Jesu, wir sind hier, BWV 373.mp3	1	69	Liebster Jesu, wir sind hier, BWV 373.mp3	373	2	15	Liebster Jesu, wir sind hier BWV373	Liebster Jesu, wir sind hier, BWV 373	228	9446902e-ed93-426d-b276-2bdc1ec6d2f8
