Riemenschneider,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV),Chorale text,Chorale text URL,Zahn_wiki,Zahn URL,BWV_wiki,BWV URL,389,CPE_wiki,Notes,Notes URL,BC F ,BC F URL
184,4.8,,184,184,184,Christ lag in Todesbanden (7),"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Easter Sunday,"4 (158.4, 277, 278, 279)",Christ lag in Todesbanden (v. 7),https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,7012a,https://en.wikipedia.org/wiki/Christ_lag_in_Todesbanden,4/8,https://en.wikipedia.org/wiki/BWV_4,41,184,0004_8 ,http://www.bach-chorales.com/BWV0004_8.htm,26.3b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011295
56,121.6,,55,55,56,Christum wir sollen loben schon (8),"Luther, Martin",Christum wir sollen loben schon,Straßburg 1537,297,6. 2nd Day of Christmas,0,Christum wir sollen loben schon (v. 8),https://en.wikipedia.org/wiki/Christum_wir_sollen_loben_schon,297,https://en.wikipedia.org/wiki/Christum_wir_sollen_loben_schon,121/6,https://en.wikipedia.org/wiki/BWV_121,42,55,0121_6 ,http://www.bach-chorales.com/BWV0121_6.htm,29.1a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011284
66,280,,65,65,66,Christ unser Herr zum Jordan kam,"Luther, Martin",Christ unser Herr zum Jordan kam,"Walter, Johann?",7246,Unknown,"2 (7.7, 176.6)",Christ unser Herr zum Jordan kam,https://en.wikipedia.org/wiki/Christ_unser_Herr_zum_Jordan_kam,7246,https://en.wikipedia.org/wiki/Es_woll_uns_Gott_genädig_sein_(Zahn_7246),280,,43,65,280,http://www.bach-chorales.com/BWV0280.htm,65.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000350
,,,,,,,,,,,,,Christ unser Herr zum Jordan kam (v. 7),https://en.wikipedia.org/wiki/Christ_unser_Herr_zum_Jordan_kam,7246,https://en.wikipedia.org/wiki/Es_woll_uns_Gott_genädig_sein_(Zahn_7246),7/7,https://en.wikipedia.org/wiki/BWV_7,44,,0007_7 ,http://www.bach-chorales.com/BWV0007_7.htm,— ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011359
119,176.6,,119,119,119,Was alle Weisheit in der Welt (8),"Gerhardt, Paul",Christ unser Herr zum Jordan kam,"Walter, Johann?",7246,Trinity Sunday,"2 (7.7, 280)",Was alle Weisheit in der Welt (v. 8),https://en.wikipedia.org/wiki/Was_alle_Weisheit_in_der_Welt,7246,https://en.wikipedia.org/wiki/Es_woll_uns_Gott_genädig_sein_(Zahn_7246),176/6,https://en.wikipedia.org/wiki/BWV_176,45,119,0176_6 ,http://www.bach-chorales.com/BWV0176_6.htm,65.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011296
6,281,,7,7,6,"Christus, der ist mein Leben",Geneva 1609,"Christus, der ist mein Leben","Vulpius, Melchior",132,Unknown,1 (282),"Christus, der ist mein Leben","https://en.wikipedia.org/wiki/Christus,_der_ist_mein_Leben",132,"https://en.wikipedia.org/wiki/Christus,_der_ist_mein_Leben",281,,46,7,281,http://www.bach-chorales.com/BWV0281.htm,30.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000351
316,282,,315,315,316,"Christus, der ist mein Leben",Geneva 1609,"Christus, der ist mein Leben","Vulpius, Melchior",132,Unknown,1 (281),"Christus, der ist mein Leben","https://en.wikipedia.org/wiki/Christus,_der_ist_mein_Leben",132,"https://en.wikipedia.org/wiki/Christus,_der_ist_mein_Leben",282,,47,315,0282; Included in BWV 95/1 ,http://www.bach-chorales.com/BWV0282.htm || https://en.wikipedia.org/wiki/BWV_95,30.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00000352
198,283,,198 =306,198,198 =307,"Christus, der uns selig macht","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Unknown,"3 (245.15, 245.37, 1084)","Christus, der uns selig macht ","https://en.wikipedia.org/wiki/Christus,_der_uns_selig_macht",6283b ,"https://en.wikipedia.org/wiki/Christus,_der_uns_selig_macht",283,,48,198,283,http://www.bach-chorales.com/BWV0283.htm,31.1,https://www.bach-digital.de/receive/BachDigitalWork_work_00000353
81,245.15,,80,80,81,"Christus, der uns selig macht (1)","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Good Friday,"3 (245.37, 283, 1084)","Christus, der uns selig macht (v. 1)","https://en.wikipedia.org/wiki/Christus,_der_uns_selig_macht",6283b,"https://en.wikipedia.org/wiki/Christus,_der_uns_selig_macht",245/15,https://en.wikipedia.org/wiki/BWV_245,49,80,0245_15 ,http://www.bach-chorales.com/BWV0245_15.htm,31.2,https://www.bach-digital.de/receive/BachDigitalWork_work_00011274
113,245.37,,113,113,113,"Christus, der uns selig macht (8)","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Good Friday,"3 (245.15, 283, 1084)","Christus, der uns selig macht (v. 8)","https://en.wikipedia.org/wiki/Christus,_der_uns_selig_macht",6283b,"https://en.wikipedia.org/wiki/Christus,_der_uns_selig_macht",245/37,https://en.wikipedia.org/wiki/BWV_245,50,113,0245_37 ,http://www.bach-chorales.com/BWV0245_37.htm,31.3a/b ,https://www.bach-digital.de/receive/BachDigitalWork_work_00011277
